Version:,Intelligent Feeling Test Data 20160625V1
LineNumber:,11
StationNumber:,2
SerialNumber:,
Platfrom:,(null)
KeyName:,Y
Test MarketData:,115.776,293.506,156.732,0.534,80.547,1.203,76.185,113.880,0.702,1.236,1.255,153.356,0.486,0.000,0.000
FeelingCurve Data longht:1262
Trave,Force
1.220,124.086
1.221,125.609
1.222,126.991
1.223,128.221
1.224,129.353
1.225,130.056
1.226,131.058
1.227,132.028
1.228,132.668
1.229,133.637
1.230,134.635
1.231,135.328
1.232,136.050
1.233,136.804
1.234,138.011
1.235,139.299
1.236,140.217
1.237,141.686
1.238,143.250
1.239,144.356
1.240,146.112
1.241,147.962
1.242,149.927
1.243,151.980
1.244,154.139
1.245,156.378
1.246,158.711
1.247,161.117
1.248,163.605
1.249,166.155
1.250,168.776
1.251,171.448
1.252,174.177
1.253,176.946
1.254,179.755
1.255,183.540
1.256,186.399
1.257,189.267
1.258,193.088
1.259,196.886
1.260,199.709
1.261,202.495
1.262,206.145
1.263,208.824
1.264,211.435
1.265,213.983
1.266,216.446
0.000,218.834
